Contraction;Meaning1;Meaning2;Meaning3;Meaning4;Meaning5
ain't;am not;are not;is not;has not;have not
aren't;are not;;;;
can't;cannot;;;;
can't've;cannot have;;;;
'cause;because;;;;
couldn't;could not;;;;
couldn't've;could not have;;;;
could've;could have;;;;
didn't;did not;;;;
doesn't;does not;;;;
don't;do not;;;;
hadn't;had not;;;;
hadn't've;had not have;;;;
hasn't;has not;;;;
haven't;have not;;;;
he'd;he had ;he would;;;
he'd've;he would have;;;;
he'll;he shall ;he will;;;
he'll've;he shall have ;he will have;;;
he's;he has ;he is;;;
how'd;how did ;how would;;;
how'll;how will;;;;
how's;how has ;how is ;how does;;
I'd;I had ;I would;;;
I'd've;I would have;;;;
I'll;I shall ;I will;;;
I'll've;I shall have ;I will have;;;
I'm;I am;;;;
isn't;is not;;;;
it'd;it had ;it would;;;
it'd've;it would have;;;;
it'll;it shall ;it will;;;
it'll've;it shall have ;it will have;;;
it's;it has ;it is;;;
I've;I have;;;;
let's;let us;;;;
ma'am;madam;;;;
mayn't;may not;;;;
mightn't;might not;;;;
mightn't've;might not have;;;;
might've;might have;;;;
mustn't;must not;;;;
mustn't've;must not have;;;;
must've;must have;;;;
n';and;;;;
needn't;need not;;;;
needn't've;need not have;;;;
not've;not have;;;;
o'clock;of the clock;;;;
oughtn't;ought not;;;;
oughtn't've;ought not have;;;;
shan't;shall not;;;;
sha'n't;shall not;;;;
shan't've;shall not have;;;;
she'd;she had ;she would;;;
she'd've;she would have;;;;
she'll;she shall ;she will;;;
she'll've;she shall have ;she will have;;;
she's;she has ;she is;;;
shouldn't;should not;;;;
shouldn't've;should not have;;;;
should've;should have;;;;
so's;so as ;so is;;;
so've;so have;;;;
that'd;that would ;that had;;;
that'd've;that would have;;;;
that's;that has ;that is;;;
there'd;there had ;there would;;;
there'd've;there would have;;;;
there're;there are;;;;
there's;there has ;there is;;;
they'd;they had ;they would;;;
they'd've;they would have;;;;
they'll;they shall ;they will;;;
they'll've;they shall have ;they will have;;;
they're;they are;;;;
they've;they have;;;;
to've;to have;;;;
wasn't;was not;;;;
we'd;we had ;we would;;;
we'd've;we would have;;;;
we'll;we will;;;;
we'll've;we will have;;;;
we're;we are;;;;
weren't;were not;;;;
we've;we have;;;;
what'll;what shall ;what will;;;
what'll've;what shall have ;what will have;;;
what're;what are;;;;
what's;what has ;what is ;what does;;
what've;what have;;;;
when's;when has ;when is;;;
when've;when have;;;;
where'd;where did;;;;
where's;where has ;where is;;;
where've;where have;;;;
who'd;who would ;who had;;;
who'll;who shall ;who will;;;
who'll've;who shall have ;who will have;;;
who're;who are;;;;
who's;who is;who has;;;
who've;who have;;;;
why'll;why will;;;;
why're;why are;;;;
why's;why has ;why is;;;
why've;why have;;;;
will've;will have;;;;
won't;will not;;;;
won't've;will not have;;;;
wouldn't;would not;;;;
wouldn't've;would not have;;;;
would've;would have;;;;
y'all;you all;;;;
y'all'd;you all would;you all could have ;you all would have;;
y'all'd've;you all should have ;;;;
y'all're;you all are;;;;
y'all've;you all have;;;;
you'd;you had ;you would;;;
you'd've;you would have;;;;
you'll;you will;you shall;;;
you'll've;you shall have ;you will have;;;
you're;you are;;;;
you've;you have;;;;
