Signal Activity Average
tBodyAcc.mean...X WALKING Mean   :0.2763  
tBodyAcc.mean...Y WALKING Mean   :-0.017907  
tBodyAcc.mean...Z WALKING Mean   :-0.10888  
tBodyAcc.std...X WALKING Mean   :-0.3146  
tBodyAcc.std...Y WALKING Mean   :-0.02358  
tBodyAcc.std...Z WALKING Mean   :-0.2739  
tGravityAcc.mean...X WALKING Mean   :0.9350  
tGravityAcc.mean...Y WALKING Mean   :-0.1967  
tGravityAcc.mean...Z WALKING Mean   :-0.05383  
tGravityAcc.std...X WALKING Mean   :-0.9776  
tGravityAcc.std...Y WALKING Mean   :-0.9669  
tGravityAcc.std...Z WALKING Mean   :-0.9546  
tBodyAccJerk.mean...X WALKING Mean   : 0.07672  
tBodyAccJerk.mean...Y WALKING Mean   : 0.01151  
tBodyAccJerk.mean...Z WALKING Mean   :-0.002319  
tBodyAccJerk.std...X WALKING Mean   :-0.2673  
tBodyAccJerk.std...Y WALKING Mean   :-0.10314  
tBodyAccJerk.std...Z WALKING Mean   :-0.4791  
tBodyGyro.mean...X WALKING Mean   :-0.034728  
tBodyGyro.mean...Y WALKING Mean   :-0.06942  
tBodyGyro.mean...Z WALKING Mean   : 0.08636  
tBodyGyro.std...X WALKING Mean   :-0.4699  
tBodyGyro.std...Y WALKING Mean   :-0.3479  
tBodyGyro.std...Z WALKING Mean   :-0.3384  
tBodyGyroJerk.mean...X WALKING Mean   :-0.094301  
tBodyGyroJerk.mean...Y WALKING Mean   :-0.04457  
tBodyGyroJerk.mean...Z WALKING Mean   :-0.05401  
tBodyGyroJerk.std...X WALKING Mean   :-0.3762  
tBodyGyroJerk.std...Y WALKING Mean   :-0.5126  
tBodyGyroJerk.std...Z WALKING Mean   :-0.4474  
tBodyAccMag.mean.. WALKING Mean   :-0.1679  
tBodyAccMag.std.. WALKING Mean   :-0.3378  
tGravityAccMag.mean.. WALKING Mean   :-0.1679  
tGravityAccMag.std.. WALKING Mean   :-0.3378  
tBodyAccJerkMag.mean.. WALKING Mean   :-0.2415  
tBodyAccJerkMag.std.. WALKING Mean   :-0.21456  
tBodyGyroMag.mean.. WALKING Mean   :-0.2749  
tBodyGyroMag.std.. WALKING Mean   :-0.3826  
tBodyGyroJerkMag.mean.. WALKING Mean   :-0.4605  
tBodyGyroJerkMag.std.. WALKING Mean   :-0.4988  
fBodyAcc.mean...X WALKING Mean   :-0.2979  
fBodyAcc.mean...Y WALKING Mean   :-0.04234  
fBodyAcc.mean...Z WALKING Mean   :-0.3418  
fBodyAcc.std...X WALKING Mean   :-0.3228  
fBodyAcc.std...Y WALKING Mean   :-0.07721  
fBodyAcc.std...Z WALKING Mean   :-0.2961  
fBodyAcc.meanFreq...X WALKING Mean   :-0.2869  
fBodyAcc.meanFreq...Y WALKING Mean   : 0.05186  
fBodyAcc.meanFreq...Z WALKING Mean   : 0.07496  
fBodyAccJerk.mean...X WALKING Mean   :-0.3111  
fBodyAccJerk.mean...Y WALKING Mean   :-0.17040  
fBodyAccJerk.mean...Z WALKING Mean   :-0.4510  
fBodyAccJerk.std...X WALKING Mean   :-0.2879  
fBodyAccJerk.std...Y WALKING Mean   :-0.09087  
fBodyAccJerk.std...Z WALKING Mean   :-0.5063  
fBodyAccJerk.meanFreq...X WALKING Mean   :-0.2584  
fBodyAccJerk.meanFreq...Y WALKING Mean   :-0.3547  
fBodyAccJerk.meanFreq...Z WALKING Mean   :-0.2407  
fBodyGyro.mean...X WALKING Mean   :-0.3482  
fBodyGyro.mean...Y WALKING Mean   :-0.3884  
fBodyGyro.mean...Z WALKING Mean   :-0.3104  
fBodyGyro.std...X WALKING Mean   :-0.5104  
fBodyGyro.std...Y WALKING Mean   :-0.3320  
fBodyGyro.std...Z WALKING Mean   :-0.4106  
fBodyGyro.meanFreq...X WALKING Mean   :-0.06774  
fBodyGyro.meanFreq...Y WALKING Mean   :-0.09845  
fBodyGyro.meanFreq...Z WALKING Mean   :-0.07218  
fBodyAccMag.mean.. WALKING Mean   :-0.2756  
fBodyAccMag.std.. WALKING Mean   :-0.48000  
fBodyAccMag.meanFreq.. WALKING Mean   : 0.18442  
fBodyBodyAccJerkMag.mean.. WALKING Mean   :-0.2147  
fBodyBodyAccJerkMag.std.. WALKING Mean   :-0.22162  
fBodyBodyAccJerkMag.meanFreq.. WALKING Mean   : 0.07731  
fBodyBodyGyroMag.mean.. WALKING Mean   :-0.4092  
fBodyBodyGyroMag.std.. WALKING Mean   :-0.4738  
fBodyBodyGyroMag.meanFreq.. WALKING Mean   : 0.16320  
fBodyBodyGyroJerkMag.mean.. WALKING Mean   :-0.5155  
fBodyBodyGyroJerkMag.std.. WALKING Mean   :-0.5144  
fBodyBodyGyroJerkMag.meanFreq.. WALKING Mean   : 0.13081  
tBodyAcc.mean...X WALKING_UPSTAIRS Mean   : 0.26229  
tBodyAcc.mean...Y WALKING_UPSTAIRS Mean   :-0.025923  
tBodyAcc.mean...Z WALKING_UPSTAIRS Mean   :-0.12054  
tBodyAcc.std...X WALKING_UPSTAIRS Mean   :-0.2380  
tBodyAcc.std...Y WALKING_UPSTAIRS Mean   :-0.01603  
tBodyAcc.std...Z WALKING_UPSTAIRS Mean   :-0.17545  
tGravityAcc.mean...X WALKING_UPSTAIRS Mean   :0.8750  
tGravityAcc.mean...Y WALKING_UPSTAIRS Mean   :-0.2814  
tGravityAcc.mean...Z WALKING_UPSTAIRS Mean   :-0.14080  
tGravityAcc.std...X WALKING_UPSTAIRS Mean   :-0.9482  
tGravityAcc.std...Y WALKING_UPSTAIRS Mean   :-0.9255  
tGravityAcc.std...Z WALKING_UPSTAIRS Mean   :-0.9019  
tBodyAccJerk.mean...X WALKING_UPSTAIRS Mean   : 0.07673  
tBodyAccJerk.mean...Y WALKING_UPSTAIRS Mean   : 0.008759  
tBodyAccJerk.mean...Z WALKING_UPSTAIRS Mean   :-0.0060095  
tBodyAccJerk.std...X WALKING_UPSTAIRS Mean   :-0.3609  
tBodyAccJerk.std...Y WALKING_UPSTAIRS Mean   :-0.3392  
tBodyAccJerk.std...Z WALKING_UPSTAIRS Mean   :-0.62706  
tBodyGyro.mean...X WALKING_UPSTAIRS Mean   : 0.006824  
tBodyGyro.mean...Y WALKING_UPSTAIRS Mean   :-0.08852  
tBodyGyro.mean...Z WALKING_UPSTAIRS Mean   : 0.05989  
tBodyGyro.std...X WALKING_UPSTAIRS Mean   :-0.4676  
tBodyGyro.std...Y WALKING_UPSTAIRS Mean   :-0.3442  
tBodyGyro.std...Z WALKING_UPSTAIRS Mean   :-0.2371  
tBodyGyroJerk.mean...X WALKING_UPSTAIRS Mean   :-0.112117  
